"Date","IP","INFL","RM","FFR"
1986 Aug,-0.167617870589165,0.0912825257359806,0.664813185281332,6.17
1986 Sep,0.276491438565074,0.364299127850121,0.438017229237531,5.89
1986 Oct,0.420611264366411,0.181653092639777,0.55098823604629,5.85
1986 Nov,0.397481762622132,0.181323712418102,0.331593794777341,6.04
1986 Dec,0.941226315623744,0.361664047018806,0.623359593536588,6.91
1987 Jan,-0.375713816150913,0.540055318000032,0.0406074885788144,6.43
1987 Feb,1.31732802148647,0.358423322781487,-0.227614616824212,6.1
1987 Mar,0.140357326597051,0.357143236759772,-0.130298483355951,6.13
1987 Apr,0.65235030136801,0.444642795713435,0.0610985538650688,6.37
1987 May,0.617718435142578,0.265839766661013,-0.0773978082102111,6.85
1987 Jun,0.538082454075628,0.441501820911672,-0.379708530114797,6.73
1987 Jul,0.671432471884703,0.263968477077281,-0.106413467251265,6.58
1987 Aug,0.750480266648701,0.438404910853496,-0.106526826151221,6.73
1987 Sep,0.382304938497668,0.349345333455986,0.0532775980308209,7.22
1987 Oct,1.3397377976708,0.261210422792502,0.286392471341834,7.29
1987 Nov,0.491018900585605,0.347222571074912,-0.204482322190813,6.69
1987 Dec,0.550793426088969,0.173160216427792,0.0941138028016653,6.77
1988 Jan,-0.0248648596167911,0.345423486808727,0.395943126000109,6.83
1988 Feb,0.499920422344946,0.172265331144672,0.629456483494018,6.58
1988 Mar,0.227714713657168,0.257842858794444,0.4483497362056,6.58
1988 Apr,0.583065238266478,0.599060413715691,0.0886239181435045,6.87
1988 May,-0.195234507135211,0.255645644130098,0.269417297090691,7.09
1988 Jun,0.285679632494507,0.424629088145156,0,7.51
1988 Jul,0.00850057951575778,0.4228336109521,-0.12456554360174,7.75
1988 Aug,0.505789436331483,0.421053253634351,-0.25765946860643,8.01
1988 Sep,-0.326954461472795,0.4192878260036,-0.254283602537075,8.19
1988 Oct,0.447886235914208,0.33416906619026,-0.0525517950446641,8.3
1988 Nov,0.248717804448884,0.333056094716522,0.169683298631806,8.35
1988 Dec,0.461560048939802,0.331950512285228,-0.0646073109491496,8.76
1989 Jan,0.290874858404422,0.413394553172797,-0.295301685032801,9.12
1989 Feb,-0.437599369556896,0.329489589685306,-0.312430515245676,9.36
1989 Mar,0.244904798345047,0.492207720542837,-0.244130812548082,9.85
1989 Apr,-0.0270745906622238,0.733798645291284,-0.522812937775008,9.84
1989 May,-0.561837368818541,0.486224620803455,-0.299395281572767,9.81
1989 Jun,-0.00534905415072728,0.322841281211872,0.217458286534278,9.53
1989 Jul,-0.967029906729255,0.321802369420077,0.482460662722772,9.24
1989 Aug,0.97254104896356,0,0.719354466557665,8.99
1989 Sep,-0.342591755032551,0.24067400305654,0.347657705544435,9.02
1989 Oct,-0.119452161738476,0.479617226349305,0.21365376075293,8.84
1989 Nov,0.336022203924902,0.39793128514809,0.217216497314343,8.55
1989 Dec,0.560444966626061,0.317208830614391,0.292896471955828,8.45
1990 Jan,-0.516960073695749,0.945633524203604,-0.489980497538678,8.23
1990 Feb,0.915271683997609,0.391389932113562,0,8.24
1990 Mar,0.47467327109576,0.46765478839017,-0.128917913270232,8.28
1990 Apr,-0.235611742219977,0.233009814162344,0.128917913270232,8.26
1990 May,0.300543590053071,0.155038790745454,-0.185371804039391,8.18
1990 Jun,0.329924522043967,0.61776258239572,-0.209965352110508,8.29
1990 Jul,-0.166502169980465,0.460830308619453,-0.12538172283012,8.15
1990 Aug,0.360723047365763,0.839379212846847,-0.299935374011362,8.13
1990 Sep,0.0316445382815722,0.681562653505985,-0.292695033953549,8.2
1990 Oct,-0.622001654485338,0.676948805524713,-0.530656808975749,8.11
1990 Nov,-1.25394956109357,0.224635062637368,-0.126958141349132,7.81
1990 Dec,-0.704272913664727,0.373274042968408,-0.090197210001719,7.31
1991 Jan,-0.328139721011667,0.371885887873713,0.114782336124364,6.91
1991 Feb,-0.724302174320091,0.0742115061887816,0.433343550460474,6.25
1991 Mar,-0.570938338628224,0,0.524850158177337,6.12
1991 Apr,0.263139089691933,0.222304648794669,0.0932892643048966,5.91
1991 May,0.989534367222511,0.369413054014167,-0.0527180206454148,5.78
1991 Jun,0.80569179403609,0.294551022975753,-0.0283981421410395,5.9
1991 Jul,0.262645536722239,0.146950797935919,-0.0202893258553161,5.82
1991 Aug,0.0210596231106308,0.293255342127807,-0.325190319495761,5.66
1991 Sep,0.823347319191825,0.292397869143546,-0.297661741930888,5.45
1991 Oct,-0.10270926708742,0.145878946365929,0.0122501480379178,5.21
1991 Nov,-0.13549963129087,0.436364328777383,-0.278039186354029,4.81
1991 Dec,-0.46405068865143,0.289855275401152,-0.0901196194042164,4.43
1992 Jan,-0.520679907822608,0.0723327337142976,0.192429791820192,4.03
1992 Feb,0.713179282366472,0.216684808509005,0.338921086383959,4.06
1992 Mar,0.834712341077015,0.360101217359432,-0.244888086139738,3.98
1992 Apr,0.769184253051325,0.215439939702655,-0.339753494098272,3.73
1992 May,0.324747979289253,0.214976793649235,-0.246325767050593,3.82
1992 Jun,0.0596946407348753,0.285918708004562,-0.440792491087461,3.76
1992 Jul,0.893836753493105,0.285103543083931,-0.268722901853469,3.25
1992 Aug,-0.549192185222935,0.213295495014165,-0.0704006655021239,3.3
1992 Sep,0.316574583756069,0.212841513482598,0.124203046520588,3.22
1992 Oct,0.682492742883412,0.424328783786621,-0.0289669158466843,3.1
1992 Nov,0.381913677938783,0.281888840641997,-0.203003694780435,3.09
1992 Dec,0.145522413740462,0.140646999275162,-0.190950659930067,2.92
1993 Jan,0.401264488840702,0.350754480967819,-0.516560198828575,3.02
1993 Feb,0.468374808231964,0.209863665692023,-0.343067862209345,3.03
1993 Mar,-0.0878267558245938,0.139664827172137,-0.222366828920695,3.07
1993 Apr,0.291073073004711,0.348311045282035,-0.357661697045319,2.96
1993 May,-0.386074406466985,0.277777956390235,0.466809098838628,3
1993 Jun,0.223325671149244,0.069324092897638,0.092262535376797,3.04
1993 Jul,0.252930941737173,0.138504177266174,-0.151019409522846,3.06
1993 Aug,-0.108166919461805,0.207397239912943,-0.10080646014945,3.03
1993 Sep,0.51948328076028,0.138026246895784,0.0504159325021902,3.09
1993 Oct,0.73443248820988,0.412939334201123,-0.281814735715002,2.99
1993 Nov,0.466043141744699,0.274348594575091,0.113662686677518,3.02
1993 Dec,0.576023096710276,0.205268631774214,-0.0799713829265691,2.96
1994 Jan,0.318002494000247,0,0.0126313130417444,3.05
1994 Feb,0.0518045512749588,0.273037712285706,-0.248709159711868,3.25
1994 Mar,1.00738062427324,0.27229424584565,-0.147832174079454,3.34
1994 Apr,0.582003899039574,0.0679578687384108,-0.0338209185603233,3.56
1994 May,0.468866146156177,0.203596948509865,0.0676304024425534,4.01
1994 Jun,0.667162630344453,0.270819393687916,-0.593322642411742,4.25
1994 Jul,0.120389073547855,0.33749610165259,-0.0893028062155743,4.26
1994 Aug,0.66714909231953,0.403497521217933,-0.473358524757916,4.47
1994 Sep,0.297697646428663,0.201139859968524,-0.188259511360833,4.73
1994 Oct,0.814092392633814,0.0669568153572442,-0.119986301676533,4.76
1994 Nov,0.666214733266823,0.267379838440274,-0.184545448397078,5.29
1994 Dec,0.99536060306189,0.200066755629624,-0.223627152069028,5.45
1995 Jan,0.189443067523065,0.266134554951414,-0.0947622400341075,5.53
1995 Feb,-0.12044929881565,0.265428158487335,-0.336700654790434,5.92
1995 Mar,0.138546269165651,0.198609797162952,-0.164445250836831,5.98
1995 Apr,-0.178025675407945,0.396040121609698,-0.164716118732589,6.05
1995 May,0.479580246383282,0.197433430371685,0.514918599474434,6.01
1995 Jun,0.333130263665193,0.19704439872994,0.503692650681398,6
1995 Jul,-0.414976896048191,0.131147559781031,0.385736806080139,5.85
1995 Aug,1.2989498191339,0.196399408465986,0.409819143485013,5.74
1995 Sep,0.386238492956537,0.130718972862187,0.234037680494392,5.8
1995 Oct,-0.161567056190481,0.260926436361331,0.0509900580436096,5.76
1995 Nov,0.240946388303254,0.130208351729877,0.0509640714335013,5.8
1995 Dec,0.342382872134639,0.130039030028328,0.131537093326362,5.6
1996 Jan,-0.522969331533307,0.518471673418652,-0.012721837050389,5.56
1996 Feb,1.43930869270594,0.193735934022676,0.19065782705816,5.22
1996 Mar,-0.16132203274255,0.322061470004176,0.359142669750767,5.31
1996 Apr,1.00984303223637,0.385109590209787,-0.0928309278024564,5.22
1996 May,0.735308774697607,0.192000058982433,0.130782392551954,5.24
1996 Jun,0.750241214114755,0.191632125076424,0.155871542880437,5.27
1996 Jul,-0.00331667698185711,0.191265598633272,0.197649300029656,5.4
1996 Aug,0.504724750477781,0.127307464679838,0.0587988257175986,5.22
1996 Sep,0.623212392700712,0.317561397388655,-0.0672014809616428,5.3
1996 Oct,-0.0145621802071005,0.316556136456114,0.197275977430067,5.24
1996 Nov,0.881443908901236,0.315557219880969,0.276370512161783,5.31
1996 Dec,0.621002441687502,0.251730781137738,0.363143464919258,5.29
1997 Jan,0.181681005561973,0.188383101237388,0.228894953964698,5.25
1997 Feb,1.16816686255001,0.188028886485192,0.120479439595567,5.19
1997 Mar,0.638065299976276,0.0625978111207459,0.323329746113377,5.39
1997 Apr,0.0833338658526195,0.0625586507734255,0.342911778107435,5.51
1997 May,0.566422126193356,0,0.317074942909734,5.5
1997 Jun,0.4567786453193,0.18744147943508,0.242275038946538,5.56
1997 Jul,0.842505332868715,0.124766079815508,0.331661681849216,5.52
1997 Aug,0.996755409716688,0.249066131245179,0.60317255046467,5.54
1997 Sep,0.920629410640394,0.248447332766144,0.146169176213551,5.54
1997 Oct,0.883116980275034,0.185931259018357,0.295744336126091,5.5
1997 Nov,0.801940304132387,0.123762392034976,0.439969225730863,5.52
1997 Dec,0.419222129786512,0.0618238041330876,0.385899100110354,5.5
1998 Jan,0.456093800273205,0.123533060799197,0.452335498956824,5.56
1998 Feb,0.165251618892626,0,0.803536683554196,5.51
1998 Mar,0.0436416082217228,0,0.620101913969506,5.49
1998 Apr,0.336987403432598,0.123380644892901,0.502730723802181,5.45
1998 May,0.656735583743995,0.246305543239789,0.336358264554981,5.49
1998 Jun,-0.592237438487597,0.122925645472982,0.350795495373735,5.56
1998 Jul,-0.397691526170973,0.245398896156601,0.22541789568491,5.54
1998 Aug,2.04173744513945,0.122473989589622,0.464774840294258,5.55
1998 Sep,-0.104719292736544,0.0611807911405471,0.858011073552767,5.51
1998 Oct,0.6978367886739,0.24434954124759,0.687235447611112,5.07
1998 Nov,-0.0985511445205312,0.121951234626128,0.773199728332585,4.83
1998 Dec,0.403064012605192,0.182648452603473,0.478352670178683,4.68
1999 Jan,0.421510373435297,0.182315456151461,0.44241223930106,4.63
1999 Feb,0.570321909546845,0,0.514926510901415,4.76
1999 Mar,0.220556216501588,0.0606980291776971,0.0930007693094481,4.81
1999 Apr,0.221546186975186,0.665257972102751,-0.0223122978874279,4.74
1999 May,0.611076021843715,0.0602591160144605,0.48972421092488,4.74
1999 Jun,-0.0672491946414056,0,0.487337595981696,4.76
1999 Jul,0.593859587407675,0.420800140020461,0.183979151869185,4.99
1999 Aug,0.434517752254582,0.239664584460009,0.135926987736479,5.07
1999 Sep,-0.420381066184383,0.41803584317579,-0.0661035646546182,5.22
1999 Oct,1.27980576399906,0.178624638146374,0.341065701485199,5.2
1999 Nov,0.529034254521221,0.178306139365603,0.234037991708824,5.42
1999 Dec,0.800527934982842,0.237248035363091,0.357312517831421,5.3
2000 Jan,-0.0738036866458458,0.295770697723263,0.312511610131772,5.45
